Cel_biznesowy,KORZYSCIE_DLA_BANKU_OBSZARU_ZESPOLU,KPI,Korzyść_dla_Banku_Obszaru_Zespołu,NAZWA_PROJEKT,NUMER,OPIS_CO_BADAMY,Opis,PRIORYTET,PROBLEM,Projekt,STATUS,STRUMIEN,TAI_refined_zadania,TAI_tagi,TAI_tagi_list,TAI_tagi_normalized,TAI_tok_myslenia,TAI_uwagi,TYP,WHISPER_NEXIDIA,Zespol_zglaszajacy_potrzebe,dodatkowe,pipeline_key,pipeline_tags,pipeline::frazy-binary,"pipeline::frazy-binary, frazy-clustering, frazy-ekstrakcja","pipeline::frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment","pipeline::frazy-binary, frazy-clustering, frazy-klient-sentyment","pipeline::frazy-binary, frazy-ekstrakcja","pipeline::frazy-binary, frazy-klient-ekstrakcja",pipeline::frazy-binaryx2,"pipeline::frazy-binaryx2, frazy-clustering, frazy-ekstrakcja","pipeline::frazy-clustering, frazy-ekstrakcja",pipeline::frazy-ekstrakcja,pipeline::frazy-emocje,pipeline::frazy-klient-ekstrakcja
,Zwiększenie sprzedaży limitów w koncie poprzez lepsze przedstawienie ich zalet.,"SR (Sales Revenue), SV (Sales Volumen)",,Limit w koncie,34,Analiza fraz dotyczących korzyści limitu w koncie i ich wpływu na decyzję klienta.,,3,"Niewystarczające omawianie korzyści limitów w koncie (np. elastyczność, szybki dostęp do środków).",,,ODZ,"Czy pojawiło się ofertowanie limitu w koncie?  Jeśli tak, to jak doradca ofertował klienta i jak poszczególne sformułowania wpływały na decyzje","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, limit","['ofertowanie', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'frazy-klient-sentyment', 'limit']","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, limit",,wieloetapowe: 4 - częściowy dubel wiersz 37 - prośba o doprecyzowanie,BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment","frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment",0,0,1,0,0,0,0,0,0,0,0,0
,Poprawa skuteczności rozmów poprzez lepsze zarządzanie obiekcjami.,"SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,35,Identyfikacja najczęściej występujących obiekcji klientów przy rozmowach o kredytach.,,2,"Nieodpowiednie zarządzanie obiekcjami klientów, szczególnie w rozmowach o kredytach.",,,ODZ,Czy klient zgłosił obiekcje do finalizacji? Jakie było to obiekcje?,"obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering,kredyt-got","['obiekcje', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got']","obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got",,wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Zwiększenie sprzedaży kart kredytowych poprzez promowanie dodatkowych korzyści.,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Karta kredytowa,36,Wyszukiwanie rozmów z frazami dotyczącymi promocji i dodatkowych korzyści kart kredytowych.,,2,Brak informacji o dodatkowych promocjach związanych z kartami kredytowymi.,,,ODZ,Wyszukiwanie rozmów z frazami dotyczącymi promocji i dodatkowych korzyści kart kredytowych oraz analiza sposobu ich prezentacji.,"ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, llm-opis-ocena,karta-kredytowa","['ofertowanie', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'llm-opis-ocena', 'karta-kredytowa']","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, llm-opis-ocena, karta-kredytowa",,wieloetapowe:4 - prośba o doprecyzowanie czy poprawnie zdefiniowanie zadanie w refined zadania,KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,"Większa liczba rozmów kończących się symulacją kredytową, co zwiększa potencjalną finalizację sprzedaży.","Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Kredyt konsumpcyjny,37,Częstość składania symulacji kredytowej w rozmowach.,,2,Zbyt mała liczba rozmów kończy się symulacją kredytową.,,,ODZ,Czy wystąpiła symulacja kredytowa w rozmowie,"ofertowanie, frazy-binary, kredyt-got","['ofertowanie', 'frazy-binary', 'kredyt-got']","ofertowanie, frazy-binary, kredyt-got",,,KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Zwiększenie liczby klientów zainteresowanych kartami kredytowymi dzięki poprawie rozmów.,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Karta kredytowa,38,Analiza skuteczności fraz promujących karty kredytowe i ich wpływu na zainteresowanie.,,2,Nieodpowiednie prowadzenie rozmowy o kartach kredytowych w celu zwiększenia zainteresowania.,,,ODZ,"Czy pojawiło się ofertowanie karty kredytowych w koncie?  Jeśli tak, to jak doradca ofertował klienta i jak poszczególne sformułowania wpływały na decyzje","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa","['ofertowanie', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'frazy-klient-sentyment', 'karta-kredytowa']","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa",,wieloetapowe: 4,KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment","frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment",0,0,1,0,0,0,0,0,0,0,0,0
,Większa liczba rozmów zakończonych decyzją klienta o rozpoczęciu procesu.,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Kredyt konsumpcyjny,39,"Wykrywanie fraz związanych z call-to-action na zakończenie rozmowy (np. 'czy możemy rozpocząć proces?', 'zgadza się Pan na te warunki?').",,2,Brak spójnego zakończenia rozmów z wezwaniem do działania.,,,ODZ,"Czy pojawiło się cta?  Jeśli tak, to jakie i jsk poszczególne sformułowania wpływały na decyzje","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa","['ofertowanie', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'frazy-klient-sentyment', 'karta-kredytowa']","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa",,wieloetapowe: 4,KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment","frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment",0,0,1,0,0,0,0,0,0,0,0,0
,Zwiększenie liczby nowych klientów zainteresowanych kartą kredytową.,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Karta kredytowa,40,Analiza fraz promujących promocje kart kredytowych i ich efektywności.,,2,Nieodpowiednie komunikowanie promocji dla nowych klientów korzystających z karty kredytowej.,,,ODZ,Analiza fraz promujących promocje kart kredytowych dla nowych klientów; jakie sformułowania są używane i jak wpływają na klienta.,"promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering,frazy-klient-sentyment, karta-kredytowa","['promocje', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'frazy-klient-sentyment', 'karta-kredytowa']","promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa",,"wieloetapowe:3 (Prośba o doprecyzowanie odróżnienia od wiersza 40,  potencjalnie do agregacji z 40 i dodanie )",KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment","frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment",0,0,1,0,0,0,0,0,0,0,0,0
,Większa liczba klientów korzystających z limitu w koncie dzięki lepszemu promowaniu.,"SR (Sales Revenue), SV (Sales Volumen)",,Limit w koncie,41,Częstość przedstawiania limitu w koncie jako opcji finansowej.,,3,Doradcy rzadko wspominają o limitach w koncie jako alternatywie dla kredytów.,,,ODZ,Czy doradcy przedstawiają limit w koncie jako alternatywę dla kredytów?,"limit, frazy-binary, ofertowanie","['limit', 'frazy-binary', 'ofertowanie']","limit, frazy-binary, ofertowanie",,Prośba o doprecyzowanie; czy to samo co wiersz 36? Czy w rubryce refined zadanie poprawnie zinterpretowaliśmy business case?,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Zwiększenie finalizacji rozmów poprzez przekierowanie do ekspertów w przypadku większych kredytów.,"SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,42,Wykrywanie przekierowań do ekspertów finansowych i powodów takich przekierowań.,,2,Zbyt mało rozmów zakończonych przekierowaniem do ekspertów finansowych w przypadku większych kredytów.,,,ODZ,"Czy pojawiło się przekierowanie do eksperta finansowego? Jeśli tak, to jakie były powody","service, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got","['service', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got']","service, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got",,wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Zwiększenie sprzedaży kart kredytowych poprzez dotarcie do klientów korzystających z innych produktów.,"SR (Sales Revenue), SV (Sales Volumen)",,Karta kredytowa,43,Analiza rozmów z klientami korzystającymi z innych produktów w kontekście promowania kart kredytowych.,,2,Brak regularnego promowania karty kredytowej w rozmowach z klientami korzystającymi z innych produktów banku.,,,ODZ,"Analiza rozmów z klientami korzystającymi z innych produktów w celu sprawdzenia, czy doradca promuje kartę kredytową i w jaki sposób.","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, cross-sell","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'karta-kredytowa', 'cross-sell']","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, cross-sell",,"wieloetapowe:3 (czy to nie jest po prostu kejs z promocją karty kredytowej po prostu z oznaczeniem ""aktywny klient? Powiązanie 40,44) - prośba o doprecyzowanie",BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,"**Zwiększenie wykorzystania personalizacji w rozmowach, co prowadzi do wyższej sprzedaży.**","SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,44,"**Frazes związane z używaniem personalizacji (np. 'Pana wcześniejszy kredyt', 'na podstawie historii możemy zaproponować').**",,2,"**Doradcy nie stosują spersonalizowanych argumentów, mimo posiadania danych o klientach (np. wcześniejsze produkty, historia współpracy).**",,,ODZ,Czy doradcy wykorzystują dane o kliencie (np. wcześniejsze produkty) w rozmowie kredytowej; identyfikacja spersonalizowanych argumentów i ich wpływu na sprzedaż.,"ofertowanie,personalizacja, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got","['ofertowanie', 'personalizacja', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got']","ofertowanie, personalizacja, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got",,wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,**Większy odsetek aktywowanych kart kredytowych po sprzedaży.**,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Karta kredytowa,45,"**Frazes wskazujące brak aktywacji kart kredytowych (np. 'karta nie była jeszcze użyta', 'dlaczego Pan nie korzysta z karty').**",,2,**Niski odsetek aktywacji kart kredytowych po sprzedaży – klienci nie korzystają z produktu.**,,,ODZ,"Identyfikacja rozmów, w których klienci nie aktywowali karty kredytowej po sprzedaży; jakie powody i frazy wskazują na brak aktywacji?","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'karta-kredytowa', 'service']","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service",,wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,"**Lepsze zrozumienie kosztów limitu przez klientów, co zwiększy sprzedaż.**","Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Limit w koncie,46,"**Wykrywanie rozmów, w których doradca nie tłumaczy szczegółowo kosztów limitu w koncie.**",,3,**Brak odpowiedniego omawiania kosztów limitu w koncie w sposób zrozumiały dla klientów.**,,,ODZ,Analiza rozmów pod kątem omówienia kosztów limitu w koncie; czy doradcy tłumaczą warunki w sposób zrozumiały dla klientów?,"frazy-binary, frazy-ekstrakcja, frazy-clustering, limit, service","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'limit', 'service']","frazy-binary, frazy-ekstrakcja, frazy-clustering, limit, service",,wieloetapowe:3,KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,**Zwiększenie liczby refinansowań zobowiązań za pomocą kredytu konsumpcyjnego.**,"SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,47,"**Frazes dotyczące refinansowania zobowiązań (np. 'przenieść zobowiązania', 'połączyć kredyty w jedno').**",,2,**Niewystarczające przekonywanie klientów o korzyściach refinansowania istniejących zobowiązań poprzez kredyt konsumpcyjny.**,,,ODZ,Czy doradcy przekonują klientów o korzyściach refinansowania istniejących zobowiązań poprzez kredyt konsumpcyjny; jakie frazy wykorzystują?,"frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, refinansowanie","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got', 'refinansowanie']","frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, refinansowanie",,wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,**Zredukowanie rezygnacji z kart kredytowych po przedstawieniu warunków.**,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Karta kredytowa,48,"**Analiza rozmów, w których klienci odrzucają kartę z powodu warunków opłat (np. 'koszty są za wysokie').**",,2,**Klienci rezygnują z kart kredytowych po usłyszeniu warunków opłat i kosztów.**,,,ODZ,"Analiza rozmów, w których klienci rezygnują z karty kredytowej po poznaniu kosztów; zidentyfikować najczęściej używane sformułowania dotyczące wysokich opłat.","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, obiekcje","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'karta-kredytowa', 'obiekcje']","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, obiekcje",,"wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie) - czy chodzi o obiekcje blokujące sprzedaż, czy rezygnacja już po finalizacji sprzedaży (ktoś ma kk i rezygnuje, gdy się zapozna z warunkami) - prośba o doprecyzowanie",KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,**Zwiększenie skuteczności rozmów poprzez lepsze badanie potrzeb klientów.**,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Kredyt konsumpcyjny,49,"**Wykrywanie rozmów, gdzie doradcy nie zadają pytań o potrzeby finansowe na początku rozmowy.**",,2,"**Zbyt niski poziom dopytywania klientów o ich potrzeby finansowe na początku rozmowy, co prowadzi do niewłaściwej oferty.**",,,,"Wykrywanie rozmów, gdzie doradcy nie zadają pytań o potrzeby finansowe klienta na początku rozmowy, co prowadzi do niewłaściwej oferty.","frazy-binaryx2,kredyt-got, ofertowanie","['frazy-binaryx2', 'kredyt-got', 'ofertowanie']","frazy-binaryx2, kredyt-got, ofertowanie",,wieloetapowe:2,KONTROLA,,,,frazy-binaryx2,frazy-binaryx2,0,0,0,0,0,0,1,0,0,0,0,0
,**Większa liczba klientów korzystających z limitów w koncie jako krótkoterminowego rozwiązania.**,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Limit w koncie,50,"**Analiza rozmów, gdzie limity w koncie nie są proponowane jako rozwiązanie kryzysowe (np. 'szybki dostęp do środków').**",,3,**Ograniczona liczba doradców proponuje limity w koncie jako rozwiązanie krótkoterminowe w trudnych sytuacjach finansowych klientów.**,,,ODZ,"Analiza rozmów, w których doradcy nie proponują limitu w koncie jako rozwiązania kryzysowego; identyfikacja potencjalnych sformułowań zachęcających do limitu.","frazy-binary, frazy-ekstrakcja, frazy-clustering, limit, ofertowanie","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'limit', 'ofertowanie']","frazy-binary, frazy-ekstrakcja, frazy-clustering, limit, ofertowanie",,wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,**Większa liczba klientów świadomych korzyści bezodsetkowego okresu w kartach kredytowych.**,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Karta kredytowa,51,**Frazes edukacyjne o bezodsetkowym okresie kart kredytowych (np. 'może Pan korzystać bez kosztów przez X dni').**,,2,"**Niski poziom edukacji klientów na temat bezodsetkowego okresu w kartach kredytowych, co zniechęca do korzystania.**",,,ODZ,Czy doradcy edukują klientów na temat bezodsetkowego okresu karty kredytowej; identyfikacja fraz edukacyjnych,"frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'karta-kredytowa', 'service']","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service",,wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,**Zwiększenie średnich kwot kredytów dzięki skutecznej argumentacji doradców.**,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Kredyt konsumpcyjny,52,"**Wykrywanie rozmów, w których doradcy nie proponują wyższych kwot kredytów mimo korzystnych warunków.**",,2,**Zbyt mała liczba klientów jest przekonywana do większych kwot kredytów przy korzystnych warunkach spłaty.**,,,ODZ,"Czy doradcy proponują większe kwoty kredytu przy korzystnych warunkach spłaty; zidentyfikować rozmowy, w których doradcy nie proponują wyższych kwot mimo możliwości.","frazy-binary,kredyt-got, ofertowanie","['frazy-binary', 'kredyt-got', 'ofertowanie']","frazy-binary, kredyt-got, ofertowanie",,,KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,**Większa liczba klientów korzystających z połączonych produktów kredytowych i limitów.**,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Limit w koncie,53,"**Analiza rozmów, gdzie doradcy nie wspominają o łączeniu kredytów i limitów w koncie jako elastycznego rozwiązania.**",,3,**Doradcy rzadko wspominają o możliwości jednoczesnego skorzystania z kredytu i limitu w koncie jako elastycznego rozwiązania.**,,,ODZ,"Analiza rozmów, w których doradcy nie wspominają o możliwości jednoczesnego skorzystania z kredytu i limitu w koncie jako elastycznego rozwiązania.","frazy-binary, limit, kredyt-got, ofertowanie","['frazy-binary', 'limit', 'kredyt-got', 'ofertowanie']","frazy-binary, limit, kredyt-got, ofertowanie",,"czy chcemy tylko identyfikować w których rozmowach (jakich) występuje możliwość  o łączeniu kredyt limit, czy zależy nam na wyciąganiu fraz - prośba o doprecyzowanie",KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Zwiększenie wolumenu konsolidacji,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Konsolidacja,54,Analiza rozmów z kampanii zarówno konsolidacyjnych jak i innych kredytowych pod kątem nawiązywanie do obecnie posiadanych produktów ( karta i limit),,3,Nawiązywanie do kwoty minimalnej oraz odsetek od wykorzytsywaego limitu,,,ODZ,Czy doradcy nawiązują do minimalnej kwoty i odsetek od wykorzystywanego limitu w rozmowach o konsolidacji; analiza sformułowań w kampaniach konsolidacyjnych i kredytowych.,"frazy-binary, frazy-ekstrakcja, frazy-clustering, konsolidacja, limit, kwota-minimalna","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'konsolidacja', 'limit', 'kwota-minimalna']","frazy-binary, frazy-ekstrakcja, frazy-clustering, konsolidacja, limit, kwota-minimalna",,prośba o doprecyzowanie zadania,KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Zwiększenie wolumenu konsolidacji,"SR (Sales Revenue), SV (Sales Volumen)",,Konsolidacja,55,"Doradcy nie proponują konsolidacji wszystkich zobowiązań kredytowych, w tym rat 0%",,1,Czy Doradcy proponuja konsolidację wszystkich zobowiązań,,,ODZ,"Czy doradcy proponują konsolidację wszystkich zobowiązań kredytowych, w tym rat 0%?","konsolidacja, frazy-binary, ofertowanie","['konsolidacja', 'frazy-binary', 'ofertowanie']","konsolidacja, frazy-binary, ofertowanie",,,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Zwiększenie wolumenu konsolidacji,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Konsolidacja,56,"Doradcy często używają sformuowań typu ' nie opłaca się ' co zamyka im dalszą sprzedaż lub wstęp typu ' Czy nie che Pan ', zaczynanie zdań od Nie",,1,Czy Doradcy stosują język negatywu,,,ODZ,"Czy doradcy stosują negatywne sformułowania (np. ""nie opłaca się"") w rozmowach o konsolidacji","frazy-binary, konsolidacja, ofertowanie","['frazy-binary', 'konsolidacja', 'ofertowanie']","frazy-binary, konsolidacja, ofertowanie",,,KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Zwiększenie wolumenu sprzedaży,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Kredyt konsumpcyjny,57,podczas symulacji Doradcy nie proponują współwnioskodawcy,,1,Czy Doradcy proponują współwnioskodawcę,,,ODZ,Czy doradcy proponują współwnioskodawcę w sytuacji niewystarczającej zdolności kredytowej podczas symulacji?,"frazy-binary, kredyt-got, ofertowanie","['frazy-binary', 'kredyt-got', 'ofertowanie']","frazy-binary, kredyt-got, ofertowanie",,,KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Zwiększenie wolumenu sprzedaży,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Kredyt konsumpcyjny,58,"Doradcy często proponują oddzwonienie, przekładją kontakty",,1,Czy Doradcy przechodzą do finalizacji tu i teraz,,,ODZ,"Czy doradcy przechodzą do finalizacji kredytu w tej samej rozmowie, czy proponują oddzwonienie lub przekładają kontakt?","frazy-binary, kredyt-got, finalizacja","['frazy-binary', 'kredyt-got', 'finalizacja']","frazy-binary, kredyt-got, finalizacja",,,KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Zwiększenie wolumenu sprzedaży,"SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,59,"Doradcy ofertują na tyle ile Klient chce, nie pytaja czy ta kwota jest wsytarczająca ani o cel kredytu",,1,Czy Doradcy maksymalizują kwotę oferty,,,ODZ,"Czy doradcy maksymalizują kwotę oferty kredytowej, pytając o cel kredytu i proponując wyższą kwotę?","frazy-binary, kredyt-got, ofertowanie","['frazy-binary', 'kredyt-got', 'ofertowanie']","frazy-binary, kredyt-got, ofertowanie",,,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Zwiększenie wolumenu sprzedaży,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Kredyt konsumpcyjny,60,Doradcy po przedstawieniu oferty nie pytają Klienta o opinię i co sądzi o oferty,,1,"Czy Doradcy pytają o opinie Klienta na temat przedstawionej oferty , w tym po zbdanaiu zdolności",,,ODZ,"Czy doradcy pytają klienta o opinię na temat przedstawionej oferty, w tym po badaniu zdolności?","frazy-binary, kredyt-got, opinia-klienta","['frazy-binary', 'kredyt-got', 'opinia-klienta']","frazy-binary, kredyt-got, opinia-klienta",,,KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Zwiększenie wolumenu sprzedaży,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Kredyt konsumpcyjny/ Karta Kredytowa,61,"Doradcy nie zbijają obiekcji, mówia czesto 'Rozumiem', 'aha OK'",,1,"Czy Doradcy reagują na NIE Klienta , czy zbijają obiekcje Klienta",,,ODZ,"Czy doradcy reagują na odmowę klienta i próbują zbić obiekcje, czy przyjmują odmowę bez próby? Zidentyfikować sformułowania i reakcje.","obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, karta-kredytowa","['obiekcje', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got', 'karta-kredytowa']","obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, karta-kredytowa",,wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
