Zespół zgłaszający potrzebę,Projekt,Cel biznesowy,KPI,Opis,Korzyść dla Banku/Obszaru/Zespołu,TAI - refined_zadania,TAI - tagi,TAI - uwagi,TAI - tok myslenia,dodatkowe,NUMER ,NAZWA - PROJEKT,KPI_BC,TYP (BIZNES/PROCES/KONTROLA),WHISPER/NEXIDIA,PRIORYTET,PROBLEM ,TAI-uwagi,TAI-tagi,TAI-refined zadania,OPIS- CO BADAMY ,KORZYŚCIE DLA BANKU/OBSZARU/ZESPOŁU,STRUMIEŃ,STATUS,TAI - tagi_standaryzowane,TAI-tagi_standaryzowane,TAI_tagi_final,pipeline_baza_wektorowa_frazy_clustering_frazy_ekstrakcja,pipeline_baza_wektorowa_bezpieczeństwo_frazy_ekstrakcja,pipeline_baza_wektorowa_fraudy_fraud_klasyfikacja_frazy_ekstrakcja_retrieval+reranking,pipeline_baza_wektorowa_indykatory_frazy_clustering_frazy_ekstrakcja,pipeline_baza_wektorowa_oswiadczenia(procedury)_frazy_binary,pipeline_baza_wektorowa_oświadczenia_baza_wektorowa_produkty_frazy_binary,pipeline_baza_wektorowa_procedury_frazy_binary_llm_ocena_pokrycia_retrieval,pipeline_baza_wektorowa_procedury_frazy_binary_retrieval,pipeline_baza_wektorowa_produktów_frazy_binary_frazy_klient_ekstrakcja,pipeline_baza_wektorowa_produktów_frazy_klient_ekstrakcja_retrieval+reranking,pipeline_baza_wektorowa_promocji_frazy_binary_frazy_ekstrakcja_retrieval+reranking,pipeline_baza_wektorowa_scripts_frazy_binary_llm_ocena_pokrycia_retrieval,pipeline_baza_wektorowa_skrypt_frazy_binary_frazy_clustering_frazy_ekstrakcja,pipeline_baza_wektorowa_skrypty_frazy_ekstrakcja_retrieval,pipeline_baza_wektorowa_tematy_frazy_ekstrakcja_kategoryzacja_rozmów_multi_label_klasyfikacja_ret...,pipeline_clustering_multi_channel_klasyfikacja_sentyment_topic_modeling,pipeline_frazy_binary,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_frazy_klient_sentyment,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_frazy_klient_sentyment_llm_podsumowanie,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_ocena_argumentów_scoring_oferty,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_opis_ocena,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_opis_segment,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_scoring_wejścia,pipeline_frazy_binary_frazy_clustering_frazy_klient_sentyment,pipeline_frazy_binary_frazy_ekstrakcja,pipeline_frazy_binary_frazy_ekstrakcja_llm_ocena_argumentacji,pipeline_frazy_binary_frazy_ekstrakcja_llm_ocena_argumentów,pipeline_frazy_binary_frazy_ekstrakcja_pair_classification_agent_client,pipeline_frazy_binary_llm_ocena_pokrycia_retrieval,pipeline_frazy_binary_pair_classification_agent_client,pipeline_frazy_binary_x2,pipeline_frazy_binary_x2_frazy_clustering_frazy_ekstrakcja,pipeline_frazy_clustering_frazy_ekstrakcja,pipeline_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie_sentyment,pipeline_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie_topic_modeling,pipeline_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie_profilu,pipeline_frazy_ekstrakcja_llm_różnice,pipeline_frazy_emocje_sentyment_czasowy,pipeline_kategoryzacja_rozmów_scoring_doradcy,pipeline_llm_klasyfikacja→skala,pipeline_llm_podsumowanie_retrieval_structured+unstructured,pipeline_llm_podsumowanie_sentyment_tema_clustering_topic_modeling,pipeline_llm_porównanie,pipeline_retrieval,pipeline_scoring
,,,,,,,,,,,16.0,Identyfikacja wąskich gardeł w rozmowie – kiedy klient traci zainteresowanie? Po informacji kto dzwoni/ w jakim temacie/ jak klient usłyszy koszty?,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,2.0,,wieloetapowe:3,"ofertowanie, frazy-klient-sentyment, frazy-binary,frazy-clustering",Identyfikacja wąskich gardeł w rozmowie – kiedy klient traci zainteresowanie? Po informacji kto dzwoni/ w jakim temacie/ jak klient usłyszy koszty?,,,ODZ,,,"ofertowanie, frazy-klient-sentyment, frazy-binary, frazy-clustering","ofertowanie, frazy-klient-sentyment, frazy-binary, frazy-clustering",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,71.0,Ilość propozycji mobilnej autoryzacji,"CSAT (satysfakcja klienta), FCR, NPS",PROCES,,1.0,"Mniejsza niż oczekiwana liczba klientów, którzy są zweryfikowani MA",,"frazy-binary, mobilna-autoryzacja, self-service",Czy doradca proponuje mobilną autoryzację (MA) w rozmowach,Czy doradca zaproponował MA,Zwiększenie MA,ODZ,,,"frazy-binary, mobilna-autoryzacja, self-service","frazy-binary, mobilna-autoryzacja, self-service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZRKiWS,JAO/POG/PUS,"Redukcja liczby reklamacji, wzrost NPS","NPS, FCR","weryfikacja udzielanych informacji pełnomocnikom, przedstawicielom ustawowym i współwłaścicielom kont","By minimalizować udzielanie błędnych odpowiedzi przez doradców, by mierzyć merytorykę oraz skuteczność prowadzonych szkoleń",Czy doradca stosuje poprawne reguły obsługi JAO/POG/PUS?,"compliance, role-uprawnienia, frazy-binary, baza-wektorowa-procedury, retrieval",wieloetapowe:3,Checklista ról/uprawnień → detekcja → raport naruszeń/braków.,,,,,,,,,,,,,,,,"compliance, role-uprawnienia, frazy-binary, baza-wektorowa-procedury, retrieval",,"compliance, role-uprawnienia, frazy-binary, baza-wektorowa-procedury, retrieval",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZRKiWS,Kampania - automatyczna weryfikacja czy padły niebzedne informacje ,,,Słowa doradcy - weryfikacja czy w rozmowie padły wszystkie niezbędne informacje zgodne z modelem rozmowy danej kampanii,"automatyczna weryfikacja jakości rozmów, bieżąca weryfikacja rozmów kampanii",Czy wszystkie elementy modelu rozmowy kampanii zostały zrealizowane?,"kampania, checklista, frazy-binary, baza-wektorowa-scripts, retrieval, llm-ocena-pokrycia",wieloetapowe:3,Checklista kampanii → detekcja → ocena pokrycia i braki.,,,,,,,,,,,,,,,,"kampania, checklista, frazy-binary, baza-wektorowa-scripts, retrieval, llm-ocena-pokrycia",,"kampania, checklista, frazy-binary, baza-wektorowa-scripts, retrieval, llm-ocena-pokrycia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZRKiWS,Kampania - skuteczność ropoczęcia połaczenia,,,"rozpoczęcie rozmowy - weryfikacja jak doradca zareagował na słowa klienta, kiedy ten mówił że nie ma czasu rozmawiać. Często doradcy od razu mówią, że zadzwonią w innym terminie zamiast spróbować zachęcić do rozmowy w tym momencie","początek rozmowy wpływa na to czy rozmowa się odbędzie czy nie, skuteczność przeprowadzanych rozmów w kampanii","Jak doradca reaguje na obiekcję klienta o braku czasu - czy próbuje zachęcić do rozmowy, czy od razu proponuje przełożenie?","obiekcje, frazy-binary, frazy-ekstrakcja,frazy-clustering, scoring-wejścia",wieloetapowe:3,1) Detekcja obiekcji 'brak czasu'; 2) Detekcja reakcji doradcy; 3) Scoring skuteczności.,,,,,,,,,,,,,,,,"obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering, scoring-wejścia",,"obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering, scoring-wejścia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,63.0,Karta Kredytowa/Kredyt konsupcyjny,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,1.0,Czy Doradca odnosi się do kampanii/zalet produktu,,"frazy-binary, kampania, zalety, karta-kredytowa, kredyt-got","Czy doradca odnosi się do kampanii i zalet produktu (np. bezpieczeństwo, dodatkowe korzyści) podczas oferowania karty kredytowej lub kredytu konsumpcyjnego?","Doradca nie odnosi się do tematu kampanii ( np kampania citi ), lub zalet produktu ( np bezpieczeństwa )",Zwiększenie wolumenu sprzedaży,ODZ,,,"frazy-binary, kampania, zalety, karta-kredytowa, kredyt-got","frazy-binary, kampania, zalety, karta-kredytowa, kredyt-got",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,30.0,Karta kredytowa,"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,1.0,Niska liczba klientów zainteresowanych kartami kredytowymi.,wieloetapowe:3 - do doprecyzowania o co chodzi o korealcja finalizacji sprzedaży ,"promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa","Wyszukiwanie rozmów, w których doradcy promują karty kredytowe i analizowanie wpływu takich fraz na finalizację sprzedaży.",Wykrywanie fraz promujących karty kredytowe w rozmowach i ich korelacja z finalizacją sprzedaży.,Wzrost zainteresowania kartami kredytowymi i ich sprzedaż.,ODZ,,,"promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa","promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,32.0,Karta kredytowa,"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,2.0,"Brak odpowiedniego promowania korzyści karty kredytowej, takich jak cashback czy programy lojalnościowe.",czy chcem zbierać informacje w jaki sposób? Czy tylko czy? - prośba o doprecyzowanie,"ofertowanie,frazy-binary, karta kredytowa","Czy doradca przedstawia zalety karty kredytowej - cashback, programy lojalnościowe, i inne korzyści",Frazes dotyczące promocji kart kredytowych i unikalnych korzyści.,Większa liczba klientów korzystających z kart kredytowych dzięki lepszemu przedstawieniu ich korzyści.,ODZ,,,"ofertowanie, frazy-binary, karta kredytowa","ofertowanie, frazy-binary, karta kredytowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,36.0,Karta kredytowa,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,2.0,Brak informacji o dodatkowych promocjach związanych z kartami kredytowymi.,wieloetapowe:4 - prośba o doprecyzowanie czy poprawnie zdefiniowanie zadanie w refined zadania,"ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, llm-opis-ocena,karta-kredytowa",Wyszukiwanie rozmów z frazami dotyczącymi promocji i dodatkowych korzyści kart kredytowych oraz analiza sposobu ich prezentacji.,Wyszukiwanie rozmów z frazami dotyczącymi promocji i dodatkowych korzyści kart kredytowych.,Zwiększenie sprzedaży kart kredytowych poprzez promowanie dodatkowych korzyści.,ODZ,,,"ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, llm-opis-ocena, karta-kredytowa","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, llm-opis-ocena, karta-kredytowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,38.0,Karta kredytowa,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,2.0,Nieodpowiednie prowadzenie rozmowy o kartach kredytowych w celu zwiększenia zainteresowania.,wieloetapowe: 4,"ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa","Czy pojawiło się ofertowanie karty kredytowych w koncie?  Jeśli tak, to jak doradca ofertował klienta i jak poszczególne sformułowania wpływały na decyzje ",Analiza skuteczności fraz promujących karty kredytowe i ich wpływu na zainteresowanie.,Zwiększenie liczby klientów zainteresowanych kartami kredytowymi dzięki poprawie rozmów.,ODZ,,,"ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,40.0,Karta kredytowa,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,2.0,Nieodpowiednie komunikowanie promocji dla nowych klientów korzystających z karty kredytowej.,"wieloetapowe:3 (Prośba o doprecyzowanie odróżnienia od wiersza 40,  potencjalnie do agregacji z 40 i dodanie )","promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering,frazy-klient-sentyment, karta-kredytowa",Analiza fraz promujących promocje kart kredytowych dla nowych klientów; jakie sformułowania są używane i jak wpływają na klienta.,Analiza fraz promujących promocje kart kredytowych i ich efektywności.,Zwiększenie liczby nowych klientów zainteresowanych kartą kredytową.,ODZ,,,"promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa","promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering, frazy-klient-sentyment, karta-kredytowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,43.0,Karta kredytowa,"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,2.0,Brak regularnego promowania karty kredytowej w rozmowach z klientami korzystającymi z innych produktów banku.,"wieloetapowe:3 (czy to nie jest po prostu kejs z promocją karty kredytowej po prostu z oznaczeniem ""aktywny klient? Powiązanie 40,44) - prośba o doprecyzowanie","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, cross-sell","Analiza rozmów z klientami korzystającymi z innych produktów w celu sprawdzenia, czy doradca promuje kartę kredytową i w jaki sposób.",Analiza rozmów z klientami korzystającymi z innych produktów w kontekście promowania kart kredytowych.,Zwiększenie sprzedaży kart kredytowych poprzez dotarcie do klientów korzystających z innych produktów.,ODZ,,,"frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, cross-sell","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, cross-sell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,45.0,Karta kredytowa,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,2.0,**Niski odsetek aktywacji kart kredytowych po sprzedaży – klienci nie korzystają z produktu.**,wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),"frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service","Identyfikacja rozmów, w których klienci nie aktywowali karty kredytowej po sprzedaży; jakie powody i frazy wskazują na brak aktywacji?","**Frazes wskazujące brak aktywacji kart kredytowych (np. 'karta nie była jeszcze użyta', 'dlaczego Pan nie korzysta z karty').**",**Większy odsetek aktywowanych kart kredytowych po sprzedaży.**,ODZ,,,"frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,48.0,Karta kredytowa,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,2.0,**Klienci rezygnują z kart kredytowych po usłyszeniu warunków opłat i kosztów.**,"wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie) - czy chodzi o obiekcje blokujące sprzedaż, czy rezygnacja już po finalizacji sprzedaży (ktoś ma kk i rezygnuje, gdy się zapozna z warunkami) - prośba o doprecyzowanie","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, obiekcje","Analiza rozmów, w których klienci rezygnują z karty kredytowej po poznaniu kosztów; zidentyfikować najczęściej używane sformułowania dotyczące wysokich opłat.","**Analiza rozmów, w których klienci odrzucają kartę z powodu warunków opłat (np. 'koszty są za wysokie').**",**Zredukowanie rezygnacji z kart kredytowych po przedstawieniu warunków.**,ODZ,,,"frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, obiekcje","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, obiekcje",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,51.0,Karta kredytowa,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,2.0,"**Niski poziom edukacji klientów na temat bezodsetkowego okresu w kartach kredytowych, co zniechęca do korzystania.**",wieloetapowe:3 (opcjonalnie 4 - gdy chcemy llm-podsumowanie),"frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service",Czy doradcy edukują klientów na temat bezodsetkowego okresu karty kredytowej; identyfikacja fraz edukacyjnych,**Frazes edukacyjne o bezodsetkowym okresie kart kredytowych (np. 'może Pan korzystać bez kosztów przez X dni').**,**Większa liczba klientów świadomych korzyści bezodsetkowego okresu w kartach kredytowych.**,ODZ,,,"frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service","frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa, service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,80.0,Karty kontrolne ,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,1.0,Niska skala kontroli,"wieloetapowe:4 - prośba o zdefiniowanie zadania, doprecyzowanie","kontrola, automatyzacja, analiza-wydajności, scoring","Czy możemy przenieść karty kontrolne na automat, aby zwiększyć skalę kontroli i zidentyfikować doradców z najsłabszymi wynikami?","Przeniesienie kontroli na automat by zwiększyć jej skalę i zweryfikować, którzy wypadają najgorzej.",Poprawa wyników kontroli w ODZ,ODZ,,,"kontrola, automatyzacja, analiza-wydajności, scoring","kontrola, automatyzacja, analiza-wydajności, scoring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,28.0,Komunikacja doradcy (parafrazowanie),NPS,KONTROLA,,2.0,Brak aktywnego słuchania i potwierdzania potrzeb klientów.,wieloetapowe:2 (lub jeden etap tylko pair classification - do ustalenia),"frazy-binary, pair-classfication-client-agent, service,nps","Czy w rozmowie doradca aktywnie słucha i potwierdza potrzeby klienta - czy parafrazuje to, co powiedział klient",Częstość używania fraz potwierdzających i parafrazowania przez doradców.,Poprawa satysfakcji klienta i wyższa finalizacja rozmów.,ODZ,,,"frazy-binary, pair-classification-agent-client, service, nps","frazy-binary, pair-classification-agent-client, service, nps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,54.0,Konsolidacja ,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,3.0,Nawiązywanie do kwoty minimalnej oraz odsetek od wykorzytsywaego limitu ,prośba o doprecyzowanie zadania,"frazy-binary, frazy-ekstrakcja, frazy-clustering, konsolidacja, limit, kwota-minimalna",Czy doradcy nawiązują do minimalnej kwoty i odsetek od wykorzystywanego limitu w rozmowach o konsolidacji; analiza sformułowań w kampaniach konsolidacyjnych i kredytowych.,Analiza rozmów z kampanii zarówno konsolidacyjnych jak i innych kredytowych pod kątem nawiązywanie do obecnie posiadanych produktów ( karta i limit),Zwiększenie wolumenu konsolidacji ,ODZ,,,"frazy-binary, frazy-ekstrakcja, frazy-clustering, konsolidacja, limit, kwota-minimalna","frazy-binary, frazy-ekstrakcja, frazy-clustering, konsolidacja, limit, kwota-minimalna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,55.0,Konsolidacja ,"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,1.0,Czy Doradcy proponuja konsolidację wszystkich zobowiązań ,,"konsolidacja, frazy-binary, ofertowanie","Czy doradcy proponują konsolidację wszystkich zobowiązań kredytowych, w tym rat 0%?","Doradcy nie proponują konsolidacji wszystkich zobowiązań kredytowych, w tym rat 0%",Zwiększenie wolumenu konsolidacji ,ODZ,,,"konsolidacja, frazy-binary, ofertowanie","konsolidacja, frazy-binary, ofertowanie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,56.0,Konsolidacja ,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,1.0,Czy Doradcy stosują język negatywu,,"frazy-binary, konsolidacja, ofertowanie","Czy doradcy stosują negatywne sformułowania (np. ""nie opłaca się"") w rozmowach o konsolidacji","Doradcy często używają sformuowań typu ' nie opłaca się ' co zamyka im dalszą sprzedaż lub wstęp typu ' Czy nie che Pan ', zaczynanie zdań od Nie",Zwiększenie wolumenu konsolidacji ,ODZ,,,"frazy-binary, konsolidacja, ofertowanie","frazy-binary, konsolidacja, ofertowanie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,22.0,Kredyt konsumpcyjny,"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,1.0,Niski odsetek sprzedaży kredytów w trakcie rozmów.,wieloetapowe:3 - proszę o doprecyzowanie wpływu na sprzedaż,"frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ofertowanie",Zidentyfikować frazy sprzedażowe i finalizujące w rozmowach o kredycie konsumpcyjnym i ocenić ich wpływ na sprzedaż.,Frazes kluczowe związane z ofertą kredytu i finalizacją rozmowy.,Wzrost liczby sprzedanych kredytów w rozmowach.,ODZ,,,"frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ofertowanie","frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ofertowanie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,23.0,Kredyt konsumpcyjny,"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,1.0,Niska średnia wartość udzielanych kredytów.,"wieloetapowe:3 - proszę o doprecyzowaie, czy prawidłowo określiliśmy zadanie w polu refined_zadanie","frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, kwota, rata","Analiza rozmów pod kątem omawiania kwoty i raty kredytu; czy doradca wykorzystuje te elementy, aby zachęcić do wyższej kwoty?","Frazes dotyczące warunków kredytu, takich jak kwota i rata.",Zwiększenie średniej wartości kredytów.,ODZ,,,"frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, kwota, rata","frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, kwota, rata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,25.0,Kredyt konsumpcyjny,"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,2.0,Zbyt dużo klientów kierowanych do oddziałów zamiast finalizacji telefonicznej.,wieloetapowe:3,"service, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got","Czy klient został przekierowany do oddziału zamiast sfinalizować kredyt telefonicznie, i jakie były powody?",Częstość przenoszenia klientów do oddziałów i powody tego działania.,Zmniejszenie liczby klientów kierowanych do oddziałów.,ODZ,,,"service, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got","service, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,29.0,Kredyt konsumpcyjny,"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,2.0,Brak odpowiedniego dostosowania oferty kredytowej do potrzeb klientów.,wieloetapowe:3 (ustalenie),"nps, frazy-binaryx2, frazy-ekstrakcja, frazy-clustering, kredyt-got",Czy doradcy badają potrzeby klienta i dostosowują ofertę kredytu gotówkowego; analiza fraz dotyczących potrzeb i dopasowania oferty.,Analiza dopasowania oferty kredytowej na podstawie fraz związanych z potrzebami klientów.,"Lepsze dopasowanie ofert kredytowych do potrzeb klientów, zwiększenie sprzedaży.",ODZ,,,"nps, frazy-binary-x2, frazy-ekstrakcja, frazy-clustering, kredyt-got","nps, frazy-binary-x2, frazy-ekstrakcja, frazy-clustering, kredyt-got",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
